 ira =       177532   masha =       165015
           0           0      177532
          -1           0      177531
          -1          -1      175031
          -1          -2      172531
          -2          -2      172530
          -3          -2      172529
          -3          -3      170029
          -2          -3      170030
          -2          -4      167530
          -2          -5      165030
          -3          -5      165029
          -3          -4      167529
          -4          -4      167528
          -4          -3      170028
          -5          -3      170027
          -5          -4      167527
          -6          -4      167526
          -6          -3      170026
          -6          -2      172526
          -5          -2      172527
          -5          -1      175027
          -5           0      177527
          -4           0      177528
          -4          -1      175028
          -3          -1      175029
          -3           0      177529
          -2           0      177530
          -2           1      180030
          -2           2      182530
          -1           2      182531
          -1           3      185031
          -1           4      187531
           0           4      187532
           0           5      190032
          -1           5      190031
          -2           5      190030
          -2           4      187530
          -2           3      185030
          -3           3      185029
          -3           2      182529
          -3           1      180029
          -4           1      180028
          -4           2      182528
          -4           3      185028
          -4           4      187528
          -3           4      187529
          -3           5      190029
          -3           6      192529
          -2           6      192530
          -2           7      195030
          -3           7      195029
          -4           7      195028
          -4           6      192528
          -4           5      190028
          -5           5      190027
          -5           4      187527
          -5           3      185027
          -5           2      182527
          -5           1      180027
          -6           1      180026
          -6           2      182526
          -7           2      182525
          -7           3      185025
          -7           4      187525
          -7           5      190025
          -8           5      190024
          -8           6      192524
          -9           6      192523
          -9           5      190023
          -9           4      187523
          -8           4      187524
          -8           3      185024
          -8           2      182524
          -9           2      182523
         -10           2      182522
         -11           2      182521
         -12           2      182520
         -13           2      182519
         -14           2      182518
         -15           2      182517
         -15           1      180017
         -16           1      180016
         -16           2      182516
         -16           3      185016
         -16           4      187516
         -16           5      190016
         -16           6      192516
         -16           7      195016
         -16           8      197516
         -17           8      197515
         -17           9      200015
         -17          10      202515
         -18          10      202514
         -18           9      200014
         -19           9      200013
         -19          10      202513
         -19          11      205013
         -18          11      205014
         -17          11      205015
         -17          12      207515
         -18          12      207514
         -19          12      207513
         -19          13      210013
         -20          13      210012
         -21          13      210011
         -22          13      210010
         -23          13      210009
         -23          12      207509
         -22          12      207510
         -22          11      205010
         -23          11      205009
         -23          10      202509
         -22          10      202510
         -21          10      202511
         -21          11      205011
         -21          12      207511
         -20          12      207512
         -20          11      205012
         -20          10      202512
         -20           9      200012
         -21           9      200011
         -22           9      200010
         -23           9      200009
         -24           9      200008
         -24          10      202508
         -25          10      202507
         -25           9      200007
         -25           8      197507
         -25           7      195007
         -24           7      195008
         -24           8      197508
         -23           8      197509
         -22           8      197510
         -22           7      195010
         -23           7      195009
         -23           6      192509
         -23           5      190009
         -22           5      190010
         -22           6      192510
         -21           6      192511
         -21           7      195011
         -21           8      197511
         -20           8      197512
         -20           7      195012
         -20           6      192512
         -20           5      190012
         -21           5      190011
         -21           4      187511
         -20           4      187512
         -20           3      185012
         -20           2      182512
         -21           2      182511
         -21           1      180011
         -22           1      180010
         -22           2      182510
         -23           2      182509
         -23           1      180009
         -24           1      180008
         -24           2      182508
         -25           2      182507
         -25           3      185007
         -24           3      185008
         -24           4      187508
         -25           4      187507
         -26           4      187506
         -27           4      187505
         -27           3      185005
         -26           3      185006
         -26           2      182506
         -27           2      182505
         -27           1      180005
         -26           1      180006
         -25           1      180007
         -25           0      177507
         -25          -1      175007
         -25          -2      172507
         -26          -2      172506
         -27          -2      172505
         -27          -3      170005
         -26          -3      170006
         -25          -3      170007
         -25          -4      167507
         -25          -5      165007
         -26          -5      165006
         -27          -5      165005
         -27          -6      162505
         -26          -6      162506
         -25          -6      162507
         -24          -6      162508
         -24          -5      165008
         -24          -4      167508
         -24          -3      170008
         -24          -2      172508
         -23          -2      172509
         -23          -1      175009
         -24          -1      175008
         -24           0      177508
         -23           0      177509
         -22           0      177510
         -21           0      177511
         -20           0      177512
         -20           1      180012
         -19           1      180013
         -19           2      182513
         -19           3      185013
         -18           3      185014
         -18           4      187514
         -18           5      190014
         -18           6      192514
         -19           6      192513
         -19           7      195013
         -19           8      197513
         -18           8      197514
         -18           7      195014
         -17           7      195015
